Participant,Ex,Hc,Hd,PD,DD,Tr,UT,IT,Gu,LL,SS
A,0.991666666666667,0.991666666666667,0.991666666666667,0.991666666666667,0.991666666666667,0.991666666666667,0.991666666666667,0.991666666666667,0.00833333333333333,0.00833333333333333,0.991666666666667
B,0.9875,0.9875,0.9875,0.9875,0.9875,0.9875,0.9875,0.9875,0.0125,0.0125,0.9875
C,0.904166666666667,0.904166666666667,0.904166666666667,0.904166666666667,0.904166666666667,0.904166666666667,0.904166666666667,0.904166666666667,0.0958333333333333,0.0958333333333333,0.904166666666667
D,0.779166666666667,0.779166666666667,0.8125,0.895833333333333,0.779166666666667,0.970833333333333,0.970833333333333,0.970833333333333,0.220833333333333,0.220833333333333,0.779166666666667
E,0.766666666666667,0.733333333333333,0.775,0.858333333333333,0.733333333333333,0.975,0.975,0.975,0.266666666666667,0.266666666666667,0.733333333333333
F,0.766666666666667,0.725,0.766666666666667,0.841666666666667,0.725,0.966666666666667,0.966666666666667,0.966666666666667,0.275,0.275,0.725
G,0.720833333333333,0.6875,0.745833333333333,0.8125,0.6875,0.929166666666667,0.929166666666667,0.929166666666667,0.3125,0.3125,0.6875
H,0.733333333333333,0.625,0.708333333333333,0.808333333333333,0.625,0.941666666666667,0.941666666666667,0.941666666666667,0.375,0.375,0.625
I,0.595833333333333,0.595833333333333,0.745833333333333,0.8125,0.579166666666667,0.829166666666667,0.829166666666667,0.829166666666667,0.404166666666667,0.404166666666667,0.595833333333333
J,0.7,0.683333333333333,0.691666666666667,0.783333333333333,0.683333333333333,0.908333333333333,0.908333333333333,0.916666666666667,0.433333333333333,0.433333333333333,0.566666666666667
K,0.679166666666667,0.6875,0.720833333333333,0.804166666666667,0.6875,0.920833333333333,0.920833333333333,0.920833333333333,0.4375,0.4375,0.5625
L,0.666666666666667,0.558333333333333,0.641666666666667,0.716666666666667,0.633333333333333,0.8,0.8,0.808333333333333,0.441666666666667,0.441666666666667,0.558333333333333
M,0.691666666666667,0.7,0.683333333333333,0.758333333333333,0.7,0.916666666666667,0.908333333333333,0.908333333333333,0.458333333333333,0.458333333333333,0.541666666666667
N,0.654166666666667,0.6875,0.704166666666667,0.7875,0.6875,0.8875,0.895833333333333,0.895833333333333,0.4625,0.4625,0.5375
O,0.6125,0.745833333333333,0.654166666666667,0.7125,0.745833333333333,0.8625,0.8625,0.8625,0.495833333333333,0.495833333333333,0.504166666666667
P,0.479166666666667,0.770833333333333,0.770833333333333,0.645833333333333,0.770833333333333,0.7875,0.7875,0.770833333333333,0.520833333333333,0.520833333333333,0.479166666666667
Q,0.479166666666667,0.629166666666667,0.6875,0.7625,0.629166666666667,0.845833333333333,0.845833333333333,0.845833333333333,0.520833333333333,0.520833333333333,0.479166666666667
R,0.470833333333333,0.645833333333333,0.670833333333333,0.7625,0.645833333333333,0.820833333333333,0.820833333333333,0.820833333333333,0.529166666666667,0.529166666666667,0.470833333333333
S,0.654166666666667,0.720833333333333,0.6625,0.745833333333333,0.720833333333333,0.920833333333333,0.920833333333333,0.920833333333333,0.5625,0.5625,0.4375
T,0.65,0.841666666666667,0.841666666666667,0.708333333333333,0.841666666666667,0.841666666666667,0.841666666666667,0.841666666666667,0.65,0.65,0.35
U,0.683333333333333,0.733333333333333,0.775,0.833333333333333,0.8,0.908333333333333,0.908333333333333,0.908333333333333,0.683333333333333,0.683333333333333,0.316666666666667
V,0.7125,0.9625,0.9625,0.779166666666667,0.9625,0.9625,0.9625,0.9625,0.7125,0.7125,0.2875
W,0.7625,0.845833333333333,0.879166666666667,0.804166666666667,0.854166666666667,0.879166666666667,0.879166666666667,0.879166666666667,0.7625,0.7625,0.2375
X,0.883333333333333,0.883333333333333,0.883333333333333,0.883333333333333,0.9,0.9,0.9,0.9,0.883333333333333,0.883333333333333,0.116666666666667
Y,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.025
