Participant,Ex,Hc,Hd,PD,DD,Tr,UT,IT,Gu,LL,SS
A,0.976365743615035,0.977091311616286,0.976668518493884,0.974513863533267,0.977047364774113,0.974501516631957,0.974374436152146,0.974352712623253,0.5,0.1062671867625,0.979594879117177
B,0.968733405606279,0.969435510249321,0.969107745440826,0.967009527862914,0.969391847153718,0.967306461260787,0.96725719590249,0.967244153332591,0.5,0.109576230753126,0.971482464157251
C,0.824077980189372,0.824642342891381,0.824646141693988,0.82471685940062,0.824628774592966,0.827450747678613,0.827572529022124,0.827485490978334,0.5,0.176287248741666,0.835278139131145
D,0.655234214537223,0.655533828720959,0.694793296873685,0.81153763658396,0.65564766582563,0.938495281426595,0.93843383912996,0.938405100584599,0.5,0.276364784976042,0.724913633390729
E,0.634103382458293,0.608821848963501,0.651013111720661,0.756089368807709,0.608951842864984,0.945693954786247,0.945651543398699,0.945730284391128,0.5,0.3130531406,0.687674095285833
F,0.641115254710276,0.601253245213138,0.638411831394706,0.733069013616847,0.601195931955925,0.931377120013569,0.931156632354778,0.931187941229119,0.5,0.31973268036875,0.680899430845625
G,0.581995029851838,0.57034372362742,0.619496290438303,0.695394519656042,0.570391657481164,0.867712873028156,0.867822405946964,0.867714501609255,0.5,0.349772551531249,0.650641616614062
H,0.608477046707187,0.531438410993473,0.585739922893977,0.690333319753826,0.531286703761266,0.888434872952822,0.888379584057416,0.888468693520776,0.5,0.39981854478125,0.60033800081875
I,0.518495020989866,0.518554351214388,0.620912285918513,0.69533748953861,0.511612002308085,0.719761562104658,0.719706948902264,0.719726995406969,0.5,0.423182816038542,0.576887218525416
J,0.579619942615732,0.56505679375897,0.573679782775307,0.657500998972354,0.567345057375877,0.836977715651574,0.839296531725662,0.846732746749527,0.5,0.446556600066666,0.553478184101667
K,0.563449124069418,0.562765732573015,0.597619843368548,0.685067057539196,0.570402279504303,0.85370988377689,0.854011275562201,0.854161142614706,0.5,0.449901313328125,0.550133486034375
L,0.554326382270937,0.515766936251115,0.540494299510648,0.58108434109467,0.53570841719801,0.680061920157235,0.68522048536902,0.692495802823949,0.5,0.453241276960417,0.546788134827292
M,0.573042692119207,0.575101712817394,0.56747439009079,0.634699989932397,0.580026293256651,0.845675654875213,0.839498519525623,0.834196391952704,0.5,0.466597732229167,0.533419567119792
N,0.546466024883644,0.56297326131552,0.583521720151472,0.665584618195897,0.570460386004549,0.807891291592362,0.812131105201695,0.81280263813612,0.5,0.46993573611875,0.5300752496675
O,0.511457149924283,0.604767640236362,0.550802572162865,0.59491141820392,0.620789206643147,0.765010645152256,0.765122229351984,0.765323723542117,0.5,0.496658943533333,0.503340826766979
P,0.499496772216518,0.644245624957238,0.618898045622602,0.537441444645971,0.646563381294007,0.643148161808265,0.647994411102154,0.650508313022626,0.5,0.516706403338542,0.483296960397396
Q,0.500547414907799,0.523702685289061,0.57052606402575,0.638454957154626,0.533100029294017,0.741512911310485,0.741630757100427,0.7411306047497,0.5,0.516706307625,0.483295947042708
R,0.500421084199619,0.540619664268547,0.558677465231219,0.638374862570972,0.542475979020054,0.710124856254959,0.712887000331606,0.71258449939609,0.5,0.523390063426042,0.476616975168021
S,0.546837583737396,0.597445623013071,0.552993895939036,0.621603300487115,0.59750222472475,0.853855775399654,0.853905080809364,0.853445949108894,0.5,0.550132229328125,0.449901028167187
T,0.544719662202927,0.732398024014654,0.71250933109212,0.580192720426091,0.732487596419521,0.730884991911464,0.726098260755623,0.736488805036358,0.5,0.6204111794375,0.3797977312775
U,0.567057666057178,0.608409363441911,0.63260008196749,0.721927899955458,0.6795574459465,0.834034328354408,0.834003389136608,0.834159317582422,0.5,0.647254373795833,0.353099987464167
V,0.590039687367029,0.923619504685793,0.891576627690373,0.646312127227465,0.923868349064659,0.908502474901453,0.89419141947259,0.924010900945982,0.5,0.670806008621875,0.329734844258438
W,0.637239980516393,0.738041953238398,0.77224074533624,0.681853265750377,0.746489909119542,0.783295354423526,0.780051565542213,0.789407804613896,0.5,0.71134361504375,0.289701848811875
X,0.791549597440947,0.792235750044933,0.792394530739676,0.792478772978924,0.813602501950565,0.821039040525935,0.820953056079388,0.820285847736384,0.5,0.813857259208333,0.192962916761667
Y,0.945936613158995,0.946374842905495,0.946283346032092,0.944663401683555,0.946512043001807,0.94573964027704,0.945662545002294,0.945659281600741,0.5,0.947315866174999,0.11960957543625
